LotID,DateTime,Type,Value
Model001_LOT001,2025-01-15 08:30:00,thickness,4.876
Model001_LOT001,2025-01-15 08:30:00,temperature,50.8
Model001_LOT001,2025-01-15 08:30:00,humidity,75.3
Model001_LOT002,2025-01-16 09:15:00,thickness,2.827
Model001_LOT002,2025-08-16 10:06:46,temperature,66.5
Model001_LOT002,2025-08-16 10:06:46,humidity,62.7
Model001_LOT003,2024-10-15 02:00:46,thickness,9.056
Model001_LOT003,2024-10-15 02:00:46,temperature,81.4
Model001_LOT003,2024-10-15 02:00:46,humidity,55.4
Model001_LOT004,2025-06-29 17:01:46,thickness,5.419
Model001_LOT004,2025-06-29 17:01:46,temperature,23.1
Model001_LOT004,2025-06-29 17:01:46,humidity,45.1
Model001_LOT005,2025-02-04 15:02:46,thickness,8.056
Model001_LOT005,2025-02-04 15:02:46,temperature,53.9
Model001_LOT005,2025-02-04 15:02:46,humidity,67.0
Model001_LOT006,2025-08-23 14:13:46,thickness,2.637
Model001_LOT006,2025-08-23 14:13:46,temperature,22.8
Model001_LOT006,2025-08-23 14:13:46,humidity,61.5
Model001_LOT007,2025-02-02 17:17:46,thickness,9.022
Model001_LOT007,2025-02-02 17:17:46,temperature,78.6
Model001_LOT007,2025-02-02 17:17:46,humidity,27.4
Model002_LOT001,2025-07-05 01:37:46,thickness,0.42
Model002_LOT001,2025-07-05 01:37:46,temperature,71.5
Model002_LOT001,2025-07-05 01:37:46,humidity,61.3
Model002_LOT002,2025-07-04 16:31:46,thickness,4.56
Model002_LOT002,2025-07-04 16:31:46,temperature,42.0
Model002_LOT002,2025-07-04 16:31:46,humidity,94.7
Model002_LOT003,2025-06-24 14:01:46,thickness,7.099
Model002_LOT003,2025-06-24 14:01:46,temperature,46.3
Model002_LOT003,2025-06-24 14:01:46,humidity,50.6
Model002_LOT004,2025-07-16 10:30:46,thickness,7.553
Model002_LOT004,2025-07-16 10:30:46,temperature,26.4
Model002_LOT004,2025-07-16 10:30:46,humidity,20.2
Model002_LOT005,2024-10-21 03:47:46,thickness,6.819
Model002_LOT005,2024-10-21 03:47:46,temperature,36.7
Model002_LOT005,2024-10-21 03:47:46,humidity,92.8
Model002_LOT006,2025-07-26 02:32:46,thickness,6.637
Model002_LOT006,2025-07-26 02:32:46,temperature,34.0
Model002_LOT006,2025-07-26 02:32:46,humidity,29.6
Model002_LOT007,2025-02-14 02:19:46,thickness,8.243
Model002_LOT007,2025-02-14 02:19:46,temperature,27.7
Model002_LOT007,2025-02-14 02:19:46,humidity,58.1
Model002_LOT008,2025-04-30 15:54:46,thickness,5.596
Model002_LOT008,2025-04-30 15:54:46,temperature,60.1
Model002_LOT008,2025-04-30 15:54:46,humidity,88.9
Model002_LOT009,2024-11-12 06:33:46,thickness,5.09
Model002_LOT009,2024-11-12 06:33:46,temperature,82.7
Model002_LOT009,2024-11-12 06:33:46,humidity,21.8
Model003_LOT001,2024-12-10 19:03:46,thickness,2.247
Model003_LOT001,2024-12-10 19:03:46,temperature,52.6
Model003_LOT001,2024-12-10 19:03:46,humidity,81.6
Model003_LOT002,2025-08-12 07:00:46,thickness,2.954
Model003_LOT002,2025-08-12 07:00:46,temperature,46.1
Model003_LOT002,2025-08-12 07:00:46,humidity,86.4
Model003_LOT003,2024-12-04 01:25:46,thickness,5.776
Model003_LOT003,2024-12-04 01:25:46,temperature,56.5
Model003_LOT003,2024-12-04 01:25:46,humidity,63.8
Model003_LOT004,2024-10-17 20:48:46,thickness,1.327
Model003_LOT004,2024-10-17 20:48:46,temperature,61.1
Model003_LOT004,2024-10-17 20:48:46,humidity,93.6
Model003_LOT005,2024-09-25 12:25:46,thickness,5.327
Model003_LOT005,2024-09-25 12:25:46,temperature,75.6
Model003_LOT005,2024-09-25 12:25:46,humidity,75.7
Model003_LOT006,2025-08-24 00:29:46,thickness,0.947
Model003_LOT006,2025-08-24 00:29:46,temperature,40.2
Model003_LOT006,2025-08-24 00:29:46,humidity,83.3
Model003_LOT007,2024-11-19 23:47:46,thickness,8.864
Model003_LOT007,2024-11-19 23:47:46,temperature,36.6
Model003_LOT007,2024-11-19 23:47:46,humidity,74.2
Model003_LOT008,2025-07-11 02:57:46,thickness,0.494
Model003_LOT008,2025-07-11 02:57:46,temperature,36.7
Model003_LOT008,2025-07-11 02:57:46,humidity,66.8
Model003_LOT009,2024-12-17 06:43:46,thickness,8.075
Model003_LOT009,2024-12-17 06:43:46,temperature,61.4
Model003_LOT009,2024-12-17 06:43:46,humidity,29.7
Model003_LOT010,2025-03-01 23:29:46,thickness,4.277
Model003_LOT010,2025-03-01 23:29:46,temperature,17.2
Model003_LOT010,2025-03-01 23:29:46,humidity,55.6
